2018-04-18 00:13:58 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 00:14:18 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 188 on Area1
2018-04-18 00:14:38 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 375 on Area1
2018-04-18 00:14:58 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 562 on Area1
2018-04-18 00:15:18 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 749 on Area1
2018-04-18 00:15:38 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 935 on Area1
2018-04-18 00:15:58 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1122 on Area1
2018-04-18 00:16:18 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1309 on Area1
2018-04-18 00:16:38 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1495 on Area1
2018-04-18 00:16:58 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1682 on Area1
2018-04-18 00:17:18 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1868 on Area1
2018-04-18 00:17:38 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2055 on Area1
2018-04-18 00:17:58 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2241 on Area1
2018-04-18 00:18:18 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2428 on Area1
