2018-04-18 06:07:30 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 06:07:50 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 06:08:10 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 06:08:30 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 06:08:50 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 06:09:10 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 06:09:30 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 06:09:50 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 06:10:10 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 06:10:30 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 06:10:50 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 06:11:10 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 06:11:30 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 06:11:50 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 06:12:10 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 06:12:30 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 06:12:50 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 06:13:10 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 06:13:30 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 06:13:50 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 06:14:10 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 06:14:30 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 06:14:50 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 06:15:10 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 06:15:31 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 06:15:51 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 06:16:11 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 06:16:31 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 06:16:51 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 06:17:11 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 06:17:31 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 06:17:51 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 06:18:11 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 06:18:31 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-18 06:18:51 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-18 06:19:11 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 06:19:31 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-18 06:19:51 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-18 06:20:11 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-18 06:20:31 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-18 06:20:51 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-18 06:21:11 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-18 06:21:31 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-18 06:21:51 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-18 06:22:11 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 723 MB
2018-04-18 06:22:31 FINER test.Simulate$MemoryLogger run -- Using 140 MB out of 723 MB
2018-04-18 06:22:51 FINER test.Simulate$MemoryLogger run -- Using 140 MB out of 723 MB
2018-04-18 06:23:11 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 723 MB
2018-04-18 06:23:31 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 723 MB
2018-04-18 06:23:51 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-18 06:24:11 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-18 06:24:31 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 723 MB
2018-04-18 06:24:51 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 723 MB
2018-04-18 06:25:11 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-18 06:25:31 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-18 06:25:51 FINER test.Simulate$MemoryLogger run -- Using 158 MB out of 723 MB
2018-04-18 06:26:11 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-18 06:26:31 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-18 06:26:51 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
2018-04-18 06:27:11 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
2018-04-18 06:27:31 FINER test.Simulate$MemoryLogger run -- Using 170 MB out of 723 MB
2018-04-18 06:27:51 FINER test.Simulate$MemoryLogger run -- Using 170 MB out of 723 MB
2018-04-18 06:28:11 FINER test.Simulate$MemoryLogger run -- Using 174 MB out of 723 MB
2018-04-18 06:28:31 FINER test.Simulate$MemoryLogger run -- Using 174 MB out of 723 MB
2018-04-18 06:28:51 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 723 MB
2018-04-18 06:29:11 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 723 MB
2018-04-18 06:29:31 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 723 MB
2018-04-18 06:29:51 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 723 MB
2018-04-18 06:30:11 FINER test.Simulate$MemoryLogger run -- Using 185 MB out of 723 MB
2018-04-18 06:30:31 FINER test.Simulate$MemoryLogger run -- Using 189 MB out of 723 MB
2018-04-18 06:30:51 FINER test.Simulate$MemoryLogger run -- Using 189 MB out of 723 MB
2018-04-18 06:31:11 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 723 MB
2018-04-18 06:31:31 FINER test.Simulate$MemoryLogger run -- Using 35 MB out of 723 MB
2018-04-18 06:31:51 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 723 MB
