2018-04-18 00:46:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 00:46:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 188 on Area1
2018-04-18 00:47:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 375 on Area1
2018-04-18 00:47:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 562 on Area1
2018-04-18 00:47:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 749 on Area1
2018-04-18 00:48:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 936 on Area1
2018-04-18 00:48:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1122 on Area1
2018-04-18 00:48:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1309 on Area1
2018-04-18 00:49:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1496 on Area1
2018-04-18 00:49:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1682 on Area1
2018-04-18 00:49:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1868 on Area1
2018-04-18 00:50:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2055 on Area1
2018-04-18 00:50:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2241 on Area1
2018-04-18 00:50:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2426 on Area1
2018-04-18 00:51:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2612 on Area1
2018-04-18 00:51:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2798 on Area1
2018-04-18 00:51:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2983 on Area1
2018-04-18 00:52:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3169 on Area1
2018-04-18 00:52:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3354 on Area1
2018-04-18 00:52:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3539 on Area1
2018-04-18 00:53:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3724 on Area1
2018-04-18 00:53:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3908 on Area1
2018-04-18 00:53:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4091 on Area1
2018-04-18 00:54:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4276 on Area1
2018-04-18 00:54:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4458 on Area1
