2018-04-19 08:08:09 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-19 08:08:29 FINER test.Simulate$MemoryLogger run -- Using 297 MB out of 683 MB
2018-04-19 08:08:49 FINER test.Simulate$MemoryLogger run -- Using 356 MB out of 734 MB
2018-04-19 08:09:09 FINER test.Simulate$MemoryLogger run -- Using 234 MB out of 770 MB
2018-04-19 08:09:29 FINER test.Simulate$MemoryLogger run -- Using 441 MB out of 765 MB
2018-04-19 08:09:49 FINER test.Simulate$MemoryLogger run -- Using 342 MB out of 719 MB
2018-04-19 08:10:09 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 677 MB
2018-04-19 08:10:29 FINER test.Simulate$MemoryLogger run -- Using 320 MB out of 644 MB
2018-04-19 08:10:49 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 603 MB
2018-04-19 08:11:09 FINER test.Simulate$MemoryLogger run -- Using 146 MB out of 570 MB
2018-04-19 08:11:29 FINER test.Simulate$MemoryLogger run -- Using 148 MB out of 538 MB
2018-04-19 08:11:49 FINER test.Simulate$MemoryLogger run -- Using 145 MB out of 511 MB
2018-04-19 08:12:09 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 485 MB
2018-04-19 08:12:29 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 464 MB
2018-04-19 08:12:49 FINER test.Simulate$MemoryLogger run -- Using 43 MB out of 445 MB
2018-04-19 08:13:09 FINER test.Simulate$MemoryLogger run -- Using 88 MB out of 431 MB
2018-04-19 08:13:29 FINER test.Simulate$MemoryLogger run -- Using 81 MB out of 419 MB
2018-04-19 08:13:49 FINER test.Simulate$MemoryLogger run -- Using 88 MB out of 409 MB
2018-04-19 08:14:09 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 398 MB
2018-04-19 08:14:29 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 395 MB
2018-04-19 08:14:49 FINER test.Simulate$MemoryLogger run -- Using 31 MB out of 395 MB
2018-04-19 08:15:09 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 395 MB
2018-04-19 08:15:29 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 395 MB
2018-04-19 08:15:49 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 395 MB
2018-04-19 08:16:09 FINER test.Simulate$MemoryLogger run -- Using 27 MB out of 395 MB
2018-04-19 08:16:29 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 395 MB
2018-04-19 08:16:49 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 395 MB
2018-04-19 08:17:09 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 395 MB
2018-04-19 08:17:29 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 395 MB
2018-04-19 08:17:49 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 395 MB
2018-04-19 08:18:09 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 395 MB
2018-04-19 08:18:29 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 395 MB
2018-04-19 08:18:49 FINER test.Simulate$MemoryLogger run -- Using 43 MB out of 395 MB
2018-04-19 08:19:09 FINER test.Simulate$MemoryLogger run -- Using 30 MB out of 395 MB
2018-04-19 08:19:29 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 395 MB
2018-04-19 08:19:49 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 395 MB
2018-04-19 08:20:09 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 395 MB
2018-04-19 08:20:29 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 395 MB
2018-04-19 08:20:49 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 395 MB
2018-04-19 08:21:09 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 395 MB
2018-04-19 08:21:29 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 395 MB
2018-04-19 08:21:49 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 395 MB
2018-04-19 08:22:09 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 395 MB
