2018-04-18 04:41:14 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 04:41:34 FINER test.Simulate$MemoryLogger run -- Using 288 MB out of 619 MB
2018-04-18 04:41:54 FINER test.Simulate$MemoryLogger run -- Using 207 MB out of 692 MB
2018-04-18 04:42:14 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 646 MB
2018-04-18 04:42:34 FINER test.Simulate$MemoryLogger run -- Using 241 MB out of 638 MB
2018-04-18 04:42:54 FINER test.Simulate$MemoryLogger run -- Using 139 MB out of 622 MB
2018-04-18 04:43:14 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 607 MB
2018-04-18 04:43:34 FINER test.Simulate$MemoryLogger run -- Using 42 MB out of 594 MB
2018-04-18 04:43:54 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 581 MB
2018-04-18 04:44:14 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 567 MB
2018-04-18 04:44:34 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 556 MB
2018-04-18 04:44:54 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 546 MB
2018-04-18 04:45:14 FINER test.Simulate$MemoryLogger run -- Using 207 MB out of 537 MB
2018-04-18 04:45:34 FINER test.Simulate$MemoryLogger run -- Using 96 MB out of 530 MB
2018-04-18 04:45:54 FINER test.Simulate$MemoryLogger run -- Using 21 MB out of 512 MB
2018-04-18 04:46:14 FINER test.Simulate$MemoryLogger run -- Using 169 MB out of 505 MB
2018-04-18 04:46:34 FINER test.Simulate$MemoryLogger run -- Using 150 MB out of 498 MB
2018-04-18 04:46:54 FINER test.Simulate$MemoryLogger run -- Using 159 MB out of 486 MB
2018-04-18 04:47:14 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 475 MB
2018-04-18 04:47:34 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 469 MB
2018-04-18 04:47:54 FINER test.Simulate$MemoryLogger run -- Using 38 MB out of 460 MB
2018-04-18 04:48:14 FINER test.Simulate$MemoryLogger run -- Using 150 MB out of 452 MB
2018-04-18 04:48:34 FINER test.Simulate$MemoryLogger run -- Using 23 MB out of 443 MB
2018-04-18 04:48:54 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 437 MB
2018-04-18 04:49:14 FINER test.Simulate$MemoryLogger run -- Using 122 MB out of 431 MB
2018-04-18 04:49:34 FINER test.Simulate$MemoryLogger run -- Using 97 MB out of 424 MB
2018-04-18 04:49:54 FINER test.Simulate$MemoryLogger run -- Using 95 MB out of 419 MB
2018-04-18 04:50:14 FINER test.Simulate$MemoryLogger run -- Using 22 MB out of 413 MB
2018-04-18 04:50:34 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 408 MB
2018-04-18 04:50:54 FINER test.Simulate$MemoryLogger run -- Using 66 MB out of 402 MB
2018-04-18 04:51:14 FINER test.Simulate$MemoryLogger run -- Using 92 MB out of 399 MB
2018-04-18 04:51:34 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 395 MB
2018-04-18 04:51:54 FINER test.Simulate$MemoryLogger run -- Using 34 MB out of 392 MB
2018-04-18 04:52:14 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 388 MB
2018-04-18 04:52:34 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 385 MB
2018-04-18 04:52:54 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 381 MB
2018-04-18 04:53:14 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 377 MB
2018-04-18 04:53:34 FINER test.Simulate$MemoryLogger run -- Using 63 MB out of 374 MB
2018-04-18 04:53:54 FINER test.Simulate$MemoryLogger run -- Using 62 MB out of 374 MB
2018-04-18 04:54:14 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 374 MB
2018-04-18 04:54:34 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 374 MB
