2018-04-17 23:53:15 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 23:53:35 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 144 on Area1
2018-04-17 23:53:55 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 300 on Area1
2018-04-17 23:54:15 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 465 on Area1
2018-04-17 23:54:35 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 639 on Area1
2018-04-17 23:54:55 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 819 on Area1
2018-04-17 23:55:15 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1002 on Area1
2018-04-17 23:55:35 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1187 on Area1
2018-04-17 23:55:55 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1369 on Area1
2018-04-17 23:56:15 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1554 on Area1
2018-04-17 23:56:35 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1739 on Area1
2018-04-17 23:56:55 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1930 on Area1
2018-04-17 23:57:15 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2117 on Area1
2018-04-17 23:57:35 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2299 on Area1
2018-04-17 23:57:55 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2487 on Area1
2018-04-17 23:58:15 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2669 on Area1
2018-04-17 23:58:35 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2854 on Area1
2018-04-17 23:58:55 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3030 on Area1
2018-04-17 23:59:15 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3215 on Area1
2018-04-17 23:59:35 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3403 on Area1
2018-04-17 23:59:55 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3591 on Area1
