2018-04-17 19:07:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 19:07:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 367 on Area1
2018-04-17 19:08:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 733 on Area1
2018-04-17 19:08:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1099 on Area1
2018-04-17 19:08:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1465 on Area1
2018-04-17 19:09:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1831 on Area1
2018-04-17 19:09:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2196 on Area1
2018-04-17 19:09:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2560 on Area1
2018-04-17 19:10:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2924 on Area1
2018-04-17 19:10:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3289 on Area1
2018-04-17 19:10:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3654 on Area1
2018-04-17 19:11:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4017 on Area1
2018-04-17 19:11:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4380 on Area1
2018-04-17 19:11:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4743 on Area1
2018-04-17 19:12:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5104 on Area1
2018-04-17 19:12:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5466 on Area1
2018-04-17 19:12:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5826 on Area1
2018-04-17 19:13:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6186 on Area1
2018-04-17 19:13:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6546 on Area1
2018-04-17 19:13:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6904 on Area1
2018-04-17 19:14:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7262 on Area1
