2018-04-17 20:17:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 20:18:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 278 on Area1
2018-04-17 20:18:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 555 on Area1
2018-04-17 20:18:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 832 on Area1
2018-04-17 20:19:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1110 on Area1
2018-04-17 20:19:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1388 on Area1
2018-04-17 20:19:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1664 on Area1
2018-04-17 20:20:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1940 on Area1
2018-04-17 20:20:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2217 on Area1
2018-04-17 20:20:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2493 on Area1
2018-04-17 20:21:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2769 on Area1
2018-04-17 20:21:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3045 on Area1
2018-04-17 20:21:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3320 on Area1
2018-04-17 20:22:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3592 on Area1
2018-04-17 20:22:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3867 on Area1
2018-04-17 20:22:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4141 on Area1
2018-04-17 20:23:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4416 on Area1
2018-04-17 20:23:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4689 on Area1
2018-04-17 20:23:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4963 on Area1
