2018-04-18 13:23:28 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 13:23:48 FINER test.Simulate$MemoryLogger run -- Using 268 MB out of 630 MB
2018-04-18 13:24:08 FINER test.Simulate$MemoryLogger run -- Using 131 MB out of 676 MB
2018-04-18 13:24:28 FINER test.Simulate$MemoryLogger run -- Using 262 MB out of 702 MB
2018-04-18 13:24:48 FINER test.Simulate$MemoryLogger run -- Using 354 MB out of 690 MB
2018-04-18 13:25:08 FINER test.Simulate$MemoryLogger run -- Using 95 MB out of 669 MB
2018-04-18 13:25:28 FINER test.Simulate$MemoryLogger run -- Using 220 MB out of 659 MB
2018-04-18 13:25:48 FINER test.Simulate$MemoryLogger run -- Using 362 MB out of 649 MB
2018-04-18 13:26:08 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 630 MB
2018-04-18 13:26:28 FINER test.Simulate$MemoryLogger run -- Using 29 MB out of 613 MB
2018-04-18 13:26:48 FINER test.Simulate$MemoryLogger run -- Using 215 MB out of 605 MB
2018-04-18 13:27:08 FINER test.Simulate$MemoryLogger run -- Using 97 MB out of 589 MB
2018-04-18 13:27:28 FINER test.Simulate$MemoryLogger run -- Using 28 MB out of 574 MB
2018-04-18 13:27:48 FINER test.Simulate$MemoryLogger run -- Using 255 MB out of 575 MB
2018-04-18 13:28:08 FINER test.Simulate$MemoryLogger run -- Using 225 MB out of 562 MB
2018-04-18 13:28:28 FINER test.Simulate$MemoryLogger run -- Using 226 MB out of 550 MB
2018-04-18 13:28:48 FINER test.Simulate$MemoryLogger run -- Using 245 MB out of 539 MB
2018-04-18 13:29:08 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 518 MB
2018-04-18 13:29:28 FINER test.Simulate$MemoryLogger run -- Using 122 MB out of 509 MB
2018-04-18 13:29:48 FINER test.Simulate$MemoryLogger run -- Using 206 MB out of 501 MB
2018-04-18 13:30:08 FINER test.Simulate$MemoryLogger run -- Using 116 MB out of 492 MB
2018-04-18 13:30:28 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 479 MB
2018-04-18 13:30:48 FINER test.Simulate$MemoryLogger run -- Using 31 MB out of 471 MB
2018-04-18 13:31:08 FINER test.Simulate$MemoryLogger run -- Using 27 MB out of 460 MB
2018-04-18 13:31:28 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 454 MB
