2018-04-18 21:04:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 21:04:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 91 on Area1
2018-04-18 21:04:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 187 on Area1
2018-04-18 21:05:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 285 on Area1
2018-04-18 21:05:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 385 on Area1
2018-04-18 21:05:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 485 on Area1
2018-04-18 21:06:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 585 on Area1
2018-04-18 21:06:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 686 on Area1
2018-04-18 21:06:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 785 on Area1
2018-04-18 21:07:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 885 on Area1
2018-04-18 21:07:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 985 on Area1
2018-04-18 21:07:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1085 on Area1
2018-04-18 21:08:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1184 on Area1
2018-04-18 21:08:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1284 on Area1
2018-04-18 21:08:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1384 on Area1
2018-04-18 21:09:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1483 on Area1
2018-04-18 21:09:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1583 on Area1
2018-04-18 21:09:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1683 on Area1
2018-04-18 21:10:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1783 on Area1
2018-04-18 21:10:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1884 on Area1
2018-04-18 21:10:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1984 on Area1
2018-04-18 21:11:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2084 on Area1
2018-04-18 21:11:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2183 on Area1
2018-04-18 21:11:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2283 on Area1
2018-04-18 21:12:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2382 on Area1
2018-04-18 21:12:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2482 on Area1
2018-04-18 21:12:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2582 on Area1
2018-04-18 21:13:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2682 on Area1
2018-04-18 21:13:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2782 on Area1
2018-04-18 21:13:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2882 on Area1
2018-04-18 21:14:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2981 on Area1
2018-04-18 21:14:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3081 on Area1
2018-04-18 21:14:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3182 on Area1
2018-04-18 21:15:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3282 on Area1
2018-04-18 21:15:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3382 on Area1
2018-04-18 21:15:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3482 on Area1
2018-04-18 21:16:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3583 on Area1
2018-04-18 21:16:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3683 on Area1
2018-04-18 21:16:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3783 on Area1
2018-04-18 21:17:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3882 on Area1
2018-04-18 21:17:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3982 on Area1
2018-04-18 21:17:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4082 on Area1
2018-04-18 21:18:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4182 on Area1
2018-04-18 21:18:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4282 on Area1
2018-04-18 21:18:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4382 on Area1
2018-04-18 21:19:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4482 on Area1
2018-04-18 21:19:29 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4583 on Area1
2018-04-18 21:19:49 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4682 on Area1
2018-04-18 21:20:09 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4781 on Area1
