2018-04-21 22:38:50 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-21 23:00:50 FINER test.Simulate$MemoryLogger run -- Using 290 MB out of 747 MB
2018-04-21 23:01:10 FINER test.Simulate$MemoryLogger run -- Using 146 MB out of 747 MB
2018-04-21 23:01:30 FINER test.Simulate$MemoryLogger run -- Using 156 MB out of 747 MB
2018-04-21 23:01:50 FINER test.Simulate$MemoryLogger run -- Using 170 MB out of 747 MB
2018-04-21 23:02:10 FINER test.Simulate$MemoryLogger run -- Using 184 MB out of 747 MB
2018-04-21 23:02:30 FINER test.Simulate$MemoryLogger run -- Using 198 MB out of 747 MB
2018-04-21 23:02:50 FINER test.Simulate$MemoryLogger run -- Using 208 MB out of 747 MB
2018-04-21 23:03:10 FINER test.Simulate$MemoryLogger run -- Using 222 MB out of 747 MB
2018-04-21 23:03:30 FINER test.Simulate$MemoryLogger run -- Using 233 MB out of 747 MB
2018-04-21 23:03:50 FINER test.Simulate$MemoryLogger run -- Using 243 MB out of 747 MB
2018-04-21 23:04:10 FINER test.Simulate$MemoryLogger run -- Using 257 MB out of 747 MB
2018-04-21 23:04:30 FINER test.Simulate$MemoryLogger run -- Using 268 MB out of 747 MB
2018-04-21 23:04:50 FINER test.Simulate$MemoryLogger run -- Using 278 MB out of 747 MB
2018-04-21 23:05:10 FINER test.Simulate$MemoryLogger run -- Using 289 MB out of 747 MB
2018-04-21 23:05:30 FINER test.Simulate$MemoryLogger run -- Using 299 MB out of 747 MB
2018-04-21 23:05:50 FINER test.Simulate$MemoryLogger run -- Using 306 MB out of 747 MB
2018-04-21 23:06:10 FINER test.Simulate$MemoryLogger run -- Using 161 MB out of 741 MB
2018-04-21 23:06:30 FINER test.Simulate$MemoryLogger run -- Using 174 MB out of 741 MB
2018-04-21 23:06:50 FINER test.Simulate$MemoryLogger run -- Using 184 MB out of 741 MB
2018-04-21 23:07:10 FINER test.Simulate$MemoryLogger run -- Using 197 MB out of 741 MB
2018-04-21 23:07:30 FINER test.Simulate$MemoryLogger run -- Using 206 MB out of 741 MB
2018-04-21 23:07:50 FINER test.Simulate$MemoryLogger run -- Using 216 MB out of 741 MB
2018-04-21 23:08:10 FINER test.Simulate$MemoryLogger run -- Using 226 MB out of 741 MB
2018-04-21 23:08:30 FINER test.Simulate$MemoryLogger run -- Using 235 MB out of 741 MB
2018-04-21 23:08:50 FINER test.Simulate$MemoryLogger run -- Using 245 MB out of 741 MB
2018-04-21 23:09:10 FINER test.Simulate$MemoryLogger run -- Using 258 MB out of 741 MB
2018-04-21 23:09:30 FINER test.Simulate$MemoryLogger run -- Using 265 MB out of 741 MB
2018-04-21 23:09:50 FINER test.Simulate$MemoryLogger run -- Using 274 MB out of 741 MB
2018-04-21 23:10:10 FINER test.Simulate$MemoryLogger run -- Using 284 MB out of 741 MB
2018-04-21 23:10:30 FINER test.Simulate$MemoryLogger run -- Using 294 MB out of 741 MB
2018-04-21 23:10:50 FINER test.Simulate$MemoryLogger run -- Using 301 MB out of 741 MB
2018-04-21 23:11:10 FINER test.Simulate$MemoryLogger run -- Using 311 MB out of 741 MB
2018-04-21 23:11:30 FINER test.Simulate$MemoryLogger run -- Using 317 MB out of 741 MB
2018-04-21 23:11:50 FINER test.Simulate$MemoryLogger run -- Using 182 MB out of 719 MB
2018-04-21 23:12:10 FINER test.Simulate$MemoryLogger run -- Using 191 MB out of 719 MB
2018-04-21 23:12:30 FINER test.Simulate$MemoryLogger run -- Using 201 MB out of 719 MB
2018-04-21 23:12:50 FINER test.Simulate$MemoryLogger run -- Using 207 MB out of 719 MB
2018-04-21 23:13:10 FINER test.Simulate$MemoryLogger run -- Using 216 MB out of 719 MB
2018-04-21 23:13:30 FINER test.Simulate$MemoryLogger run -- Using 226 MB out of 719 MB
2018-04-21 23:13:50 FINER test.Simulate$MemoryLogger run -- Using 232 MB out of 719 MB
2018-04-21 23:14:10 FINER test.Simulate$MemoryLogger run -- Using 242 MB out of 719 MB
2018-04-21 23:14:30 FINER test.Simulate$MemoryLogger run -- Using 248 MB out of 719 MB
2018-04-21 23:14:50 FINER test.Simulate$MemoryLogger run -- Using 258 MB out of 719 MB
2018-04-21 23:15:10 FINER test.Simulate$MemoryLogger run -- Using 264 MB out of 719 MB
2018-04-21 23:15:30 FINER test.Simulate$MemoryLogger run -- Using 273 MB out of 719 MB
2018-04-21 23:15:50 FINER test.Simulate$MemoryLogger run -- Using 280 MB out of 719 MB
2018-04-21 23:16:10 FINER test.Simulate$MemoryLogger run -- Using 289 MB out of 719 MB
2018-04-21 23:16:30 FINER test.Simulate$MemoryLogger run -- Using 296 MB out of 719 MB
2018-04-21 23:16:50 FINER test.Simulate$MemoryLogger run -- Using 302 MB out of 719 MB
2018-04-21 23:17:10 FINER test.Simulate$MemoryLogger run -- Using 312 MB out of 719 MB
2018-04-21 23:17:30 FINER test.Simulate$MemoryLogger run -- Using 318 MB out of 719 MB
2018-04-21 23:17:50 FINER test.Simulate$MemoryLogger run -- Using 324 MB out of 719 MB
2018-04-21 23:18:10 FINER test.Simulate$MemoryLogger run -- Using 334 MB out of 719 MB
2018-04-21 23:18:30 FINER test.Simulate$MemoryLogger run -- Using 199 MB out of 741 MB
2018-04-21 23:18:50 FINER test.Simulate$MemoryLogger run -- Using 208 MB out of 741 MB
2018-04-21 23:19:10 FINER test.Simulate$MemoryLogger run -- Using 215 MB out of 741 MB
2018-04-21 23:19:30 FINER test.Simulate$MemoryLogger run -- Using 224 MB out of 741 MB
2018-04-21 23:19:50 FINER test.Simulate$MemoryLogger run -- Using 230 MB out of 741 MB
2018-04-21 23:20:10 FINER test.Simulate$MemoryLogger run -- Using 240 MB out of 741 MB
2018-04-21 23:20:30 FINER test.Simulate$MemoryLogger run -- Using 246 MB out of 741 MB
2018-04-21 23:20:50 FINER test.Simulate$MemoryLogger run -- Using 252 MB out of 741 MB
2018-04-21 23:21:10 FINER test.Simulate$MemoryLogger run -- Using 261 MB out of 741 MB
2018-04-21 23:21:30 FINER test.Simulate$MemoryLogger run -- Using 267 MB out of 741 MB
2018-04-21 23:21:50 FINER test.Simulate$MemoryLogger run -- Using 274 MB out of 741 MB
2018-04-21 23:22:10 FINER test.Simulate$MemoryLogger run -- Using 283 MB out of 741 MB
2018-04-21 23:22:30 FINER test.Simulate$MemoryLogger run -- Using 289 MB out of 741 MB
2018-04-21 23:22:50 FINER test.Simulate$MemoryLogger run -- Using 295 MB out of 741 MB
2018-04-21 23:23:10 FINER test.Simulate$MemoryLogger run -- Using 305 MB out of 741 MB
2018-04-21 23:23:30 FINER test.Simulate$MemoryLogger run -- Using 311 MB out of 741 MB
2018-04-21 23:23:50 FINER test.Simulate$MemoryLogger run -- Using 317 MB out of 741 MB
2018-04-21 23:24:10 FINER test.Simulate$MemoryLogger run -- Using 323 MB out of 741 MB
2018-04-21 23:24:30 FINER test.Simulate$MemoryLogger run -- Using 330 MB out of 741 MB
2018-04-21 23:24:50 FINER test.Simulate$MemoryLogger run -- Using 339 MB out of 741 MB
2018-04-21 23:25:10 FINER test.Simulate$MemoryLogger run -- Using 345 MB out of 741 MB
2018-04-21 23:25:30 FINER test.Simulate$MemoryLogger run -- Using 213 MB out of 672 MB
2018-04-21 23:25:50 FINER test.Simulate$MemoryLogger run -- Using 219 MB out of 672 MB
2018-04-21 23:26:10 FINER test.Simulate$MemoryLogger run -- Using 228 MB out of 672 MB
2018-04-21 23:26:30 FINER test.Simulate$MemoryLogger run -- Using 234 MB out of 672 MB
2018-04-21 23:26:50 FINER test.Simulate$MemoryLogger run -- Using 243 MB out of 672 MB
2018-04-21 23:27:10 FINER test.Simulate$MemoryLogger run -- Using 252 MB out of 672 MB
2018-04-21 23:27:30 FINER test.Simulate$MemoryLogger run -- Using 258 MB out of 672 MB
2018-04-21 23:27:50 FINER test.Simulate$MemoryLogger run -- Using 264 MB out of 672 MB
2018-04-21 23:28:10 FINER test.Simulate$MemoryLogger run -- Using 273 MB out of 672 MB
2018-04-21 23:28:30 FINER test.Simulate$MemoryLogger run -- Using 279 MB out of 672 MB
2018-04-21 23:28:50 FINER test.Simulate$MemoryLogger run -- Using 285 MB out of 672 MB
2018-04-21 23:29:10 FINER test.Simulate$MemoryLogger run -- Using 291 MB out of 672 MB
2018-04-21 23:29:30 FINER test.Simulate$MemoryLogger run -- Using 297 MB out of 672 MB
2018-04-21 23:29:50 FINER test.Simulate$MemoryLogger run -- Using 303 MB out of 672 MB
2018-04-21 23:30:10 FINER test.Simulate$MemoryLogger run -- Using 312 MB out of 672 MB
2018-04-21 23:30:30 FINER test.Simulate$MemoryLogger run -- Using 318 MB out of 672 MB
2018-04-21 23:30:50 FINER test.Simulate$MemoryLogger run -- Using 325 MB out of 672 MB
2018-04-21 23:31:10 FINER test.Simulate$MemoryLogger run -- Using 331 MB out of 672 MB
2018-04-21 23:31:30 FINER test.Simulate$MemoryLogger run -- Using 337 MB out of 672 MB
2018-04-21 23:31:50 FINER test.Simulate$MemoryLogger run -- Using 343 MB out of 672 MB
2018-04-21 23:32:10 FINER test.Simulate$MemoryLogger run -- Using 352 MB out of 672 MB
