2018-04-18 02:54:45 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 02:55:05 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 02:55:25 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 02:55:45 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 02:56:05 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 02:56:25 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 02:56:45 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 02:57:05 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 02:57:25 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 02:57:45 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 02:58:05 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 02:58:25 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 02:58:45 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 02:59:05 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 02:59:25 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 02:59:45 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 03:00:05 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 03:00:25 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 03:00:45 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 03:01:05 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 03:01:25 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 03:01:45 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 03:02:05 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 03:02:25 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 03:02:45 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 03:03:05 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 03:03:25 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 03:03:45 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 03:04:05 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 03:04:25 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-18 03:04:45 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 03:05:05 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 03:05:25 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
