2018-04-17 19:15:58 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-17 19:16:18 FINER test.Simulate$MemoryLogger run -- Using 344 MB out of 698 MB
2018-04-17 19:16:38 FINER test.Simulate$MemoryLogger run -- Using 226 MB out of 734 MB
2018-04-17 19:16:58 FINER test.Simulate$MemoryLogger run -- Using 361 MB out of 752 MB
2018-04-17 19:17:18 FINER test.Simulate$MemoryLogger run -- Using 115 MB out of 716 MB
2018-04-17 19:17:38 FINER test.Simulate$MemoryLogger run -- Using 310 MB out of 695 MB
2018-04-17 19:17:58 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 665 MB
2018-04-17 19:18:18 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 639 MB
2018-04-17 19:18:38 FINER test.Simulate$MemoryLogger run -- Using 169 MB out of 616 MB
2018-04-17 19:18:58 FINER test.Simulate$MemoryLogger run -- Using 258 MB out of 595 MB
2018-04-17 19:19:18 FINER test.Simulate$MemoryLogger run -- Using 167 MB out of 571 MB
2018-04-17 19:19:38 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 551 MB
2018-04-17 19:19:58 FINER test.Simulate$MemoryLogger run -- Using 227 MB out of 533 MB
2018-04-17 19:20:18 FINER test.Simulate$MemoryLogger run -- Using 176 MB out of 516 MB
2018-04-17 19:20:38 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 496 MB
2018-04-17 19:20:58 FINER test.Simulate$MemoryLogger run -- Using 168 MB out of 480 MB
2018-04-17 19:21:18 FINER test.Simulate$MemoryLogger run -- Using 78 MB out of 465 MB
2018-04-17 19:21:38 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 450 MB
2018-04-17 19:21:58 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 438 MB
2018-04-17 19:22:18 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 427 MB
2018-04-17 19:22:38 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 417 MB
2018-04-17 19:22:58 FINER test.Simulate$MemoryLogger run -- Using 31 MB out of 407 MB
2018-04-17 19:23:18 FINER test.Simulate$MemoryLogger run -- Using 99 MB out of 401 MB
2018-04-17 19:23:38 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 395 MB
2018-04-17 19:23:58 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 388 MB
2018-04-17 19:24:18 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 380 MB
2018-04-17 19:24:38 FINER test.Simulate$MemoryLogger run -- Using 29 MB out of 380 MB
2018-04-17 19:24:58 FINER test.Simulate$MemoryLogger run -- Using 62 MB out of 380 MB
2018-04-17 19:25:18 FINER test.Simulate$MemoryLogger run -- Using 42 MB out of 380 MB
2018-04-17 19:25:38 FINER test.Simulate$MemoryLogger run -- Using 66 MB out of 380 MB
2018-04-17 19:25:58 FINER test.Simulate$MemoryLogger run -- Using 30 MB out of 380 MB
2018-04-17 19:26:18 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 380 MB
2018-04-17 19:26:38 FINER test.Simulate$MemoryLogger run -- Using 24 MB out of 380 MB
2018-04-17 19:26:58 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 380 MB
2018-04-17 19:27:18 FINER test.Simulate$MemoryLogger run -- Using 26 MB out of 380 MB
2018-04-17 19:27:38 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 380 MB
2018-04-17 19:27:58 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 380 MB
2018-04-17 19:28:18 FINER test.Simulate$MemoryLogger run -- Using 65 MB out of 380 MB
2018-04-17 19:28:38 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 380 MB
