2018-04-17 20:24:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 20:24:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 279 on Area1
2018-04-17 20:24:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 556 on Area1
2018-04-17 20:25:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 834 on Area1
2018-04-17 20:25:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1112 on Area1
2018-04-17 20:25:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1389 on Area1
2018-04-17 20:26:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1664 on Area1
2018-04-17 20:26:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1941 on Area1
2018-04-17 20:26:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2218 on Area1
2018-04-17 20:27:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2494 on Area1
2018-04-17 20:27:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2770 on Area1
2018-04-17 20:27:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3047 on Area1
2018-04-17 20:28:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3322 on Area1
2018-04-17 20:28:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3597 on Area1
2018-04-17 20:28:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3872 on Area1
2018-04-17 20:29:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4147 on Area1
2018-04-17 20:29:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4422 on Area1
2018-04-17 20:29:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4696 on Area1
2018-04-17 20:30:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4970 on Area1
2018-04-17 20:30:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5244 on Area1
2018-04-17 20:30:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5516 on Area1
2018-04-17 20:31:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5789 on Area1
2018-04-17 20:31:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6062 on Area1
2018-04-17 20:31:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6333 on Area1
2018-04-17 20:32:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6604 on Area1
2018-04-17 20:32:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6876 on Area1
2018-04-17 20:32:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7145 on Area1
2018-04-17 20:33:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7414 on Area1
2018-04-17 20:33:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7685 on Area1
2018-04-17 20:33:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7952 on Area1
2018-04-17 20:34:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8209 on Area1
2018-04-17 20:34:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8475 on Area1
2018-04-17 20:34:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8737 on Area1
2018-04-17 20:35:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8999 on Area1
2018-04-17 20:35:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9265 on Area1
2018-04-17 20:35:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9525 on Area1
2018-04-17 20:36:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9784 on Area1
2018-04-17 20:36:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10054 on Area1
