2018-04-17 20:24:00 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-17 20:24:20 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-17 20:24:40 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-17 20:25:00 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-17 20:25:20 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-17 20:25:40 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-17 20:26:00 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-17 20:26:20 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-17 20:26:40 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-17 20:27:00 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-17 20:27:20 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-17 20:27:40 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-17 20:28:00 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-17 20:28:20 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-17 20:28:40 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-17 20:29:00 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-17 20:29:20 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-17 20:29:40 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-17 20:30:00 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-17 20:30:20 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-17 20:30:40 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-17 20:31:00 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-17 20:31:20 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-17 20:31:40 FINER test.Simulate$MemoryLogger run -- Using 140 MB out of 723 MB
2018-04-17 20:32:00 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 723 MB
2018-04-17 20:32:20 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-17 20:32:40 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 723 MB
2018-04-17 20:33:00 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-17 20:33:20 FINER test.Simulate$MemoryLogger run -- Using 158 MB out of 723 MB
2018-04-17 20:33:40 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-17 20:34:00 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
2018-04-17 20:34:20 FINER test.Simulate$MemoryLogger run -- Using 170 MB out of 723 MB
2018-04-17 20:34:40 FINER test.Simulate$MemoryLogger run -- Using 174 MB out of 723 MB
2018-04-17 20:35:00 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 723 MB
2018-04-17 20:35:20 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 723 MB
2018-04-17 20:35:40 FINER test.Simulate$MemoryLogger run -- Using 185 MB out of 723 MB
2018-04-17 20:36:00 FINER test.Simulate$MemoryLogger run -- Using 189 MB out of 723 MB
2018-04-17 20:36:20 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 723 MB
