2018-04-17 18:51:02 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-17 18:51:22 FINER test.Simulate$MemoryLogger run -- Using 152 MB out of 694 MB
2018-04-17 18:51:42 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 747 MB
2018-04-17 18:52:02 FINER test.Simulate$MemoryLogger run -- Using 343 MB out of 718 MB
2018-04-17 18:52:22 FINER test.Simulate$MemoryLogger run -- Using 366 MB out of 687 MB
2018-04-17 18:52:42 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 649 MB
2018-04-17 18:53:02 FINER test.Simulate$MemoryLogger run -- Using 295 MB out of 625 MB
2018-04-17 18:53:22 FINER test.Simulate$MemoryLogger run -- Using 253 MB out of 596 MB
2018-04-17 18:53:42 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 572 MB
2018-04-17 18:54:02 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 542 MB
2018-04-17 18:54:22 FINER test.Simulate$MemoryLogger run -- Using 174 MB out of 524 MB
2018-04-17 18:54:42 FINER test.Simulate$MemoryLogger run -- Using 21 MB out of 497 MB
2018-04-17 18:55:02 FINER test.Simulate$MemoryLogger run -- Using 19 MB out of 479 MB
2018-04-17 18:55:22 FINER test.Simulate$MemoryLogger run -- Using 97 MB out of 462 MB
2018-04-17 18:55:42 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 446 MB
2018-04-17 18:56:02 FINER test.Simulate$MemoryLogger run -- Using 36 MB out of 431 MB
2018-04-17 18:56:22 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 420 MB
2018-04-17 18:56:42 FINER test.Simulate$MemoryLogger run -- Using 23 MB out of 407 MB
2018-04-17 18:57:02 FINER test.Simulate$MemoryLogger run -- Using 92 MB out of 401 MB
2018-04-17 18:57:22 FINER test.Simulate$MemoryLogger run -- Using 35 MB out of 393 MB
2018-04-17 18:57:42 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 384 MB
2018-04-17 18:58:02 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 380 MB
2018-04-17 18:58:22 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 380 MB
2018-04-17 18:58:42 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 380 MB
2018-04-17 18:59:02 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 380 MB
2018-04-17 18:59:22 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 380 MB
2018-04-17 18:59:42 FINER test.Simulate$MemoryLogger run -- Using 34 MB out of 380 MB
2018-04-17 19:00:02 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 380 MB
2018-04-17 19:00:22 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 380 MB
2018-04-17 19:00:42 FINER test.Simulate$MemoryLogger run -- Using 35 MB out of 380 MB
2018-04-17 19:01:02 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 380 MB
2018-04-17 19:01:22 FINER test.Simulate$MemoryLogger run -- Using 38 MB out of 380 MB
2018-04-17 19:01:42 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 380 MB
2018-04-17 19:02:02 FINER test.Simulate$MemoryLogger run -- Using 29 MB out of 380 MB
2018-04-17 19:02:22 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 380 MB
2018-04-17 19:02:42 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 380 MB
2018-04-17 19:03:02 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 380 MB
2018-04-17 19:03:22 FINER test.Simulate$MemoryLogger run -- Using 27 MB out of 380 MB
2018-04-17 19:03:42 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 380 MB
2018-04-17 19:04:02 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 380 MB
2018-04-17 19:04:22 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 380 MB
