2018-04-17 21:21:33 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-17 21:21:53 FINER test.Simulate$MemoryLogger run -- Using 207 MB out of 695 MB
2018-04-17 21:22:13 FINER test.Simulate$MemoryLogger run -- Using 292 MB out of 712 MB
2018-04-17 21:22:33 FINER test.Simulate$MemoryLogger run -- Using 349 MB out of 688 MB
2018-04-17 21:22:53 FINER test.Simulate$MemoryLogger run -- Using 103 MB out of 660 MB
2018-04-17 21:23:13 FINER test.Simulate$MemoryLogger run -- Using 258 MB out of 643 MB
2018-04-17 21:23:33 FINER test.Simulate$MemoryLogger run -- Using 153 MB out of 619 MB
2018-04-17 21:23:53 FINER test.Simulate$MemoryLogger run -- Using 100 MB out of 597 MB
2018-04-17 21:24:13 FINER test.Simulate$MemoryLogger run -- Using 125 MB out of 578 MB
2018-04-17 21:24:33 FINER test.Simulate$MemoryLogger run -- Using 191 MB out of 568 MB
2018-04-17 21:24:53 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 547 MB
2018-04-17 21:25:13 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 529 MB
2018-04-17 21:25:33 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 513 MB
2018-04-17 21:25:53 FINER test.Simulate$MemoryLogger run -- Using 145 MB out of 499 MB
2018-04-17 21:26:13 FINER test.Simulate$MemoryLogger run -- Using 105 MB out of 482 MB
2018-04-17 21:26:33 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 471 MB
2018-04-17 21:26:53 FINER test.Simulate$MemoryLogger run -- Using 114 MB out of 458 MB
2018-04-17 21:27:13 FINER test.Simulate$MemoryLogger run -- Using 142 MB out of 447 MB
2018-04-17 21:27:33 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 436 MB
2018-04-17 21:27:53 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 426 MB
2018-04-17 21:28:13 FINER test.Simulate$MemoryLogger run -- Using 36 MB out of 418 MB
2018-04-17 21:28:33 FINER test.Simulate$MemoryLogger run -- Using 89 MB out of 410 MB
2018-04-17 21:28:53 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 403 MB
2018-04-17 21:29:13 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 398 MB
2018-04-17 21:29:33 FINER test.Simulate$MemoryLogger run -- Using 47 MB out of 392 MB
2018-04-17 21:29:53 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 387 MB
2018-04-17 21:30:13 FINER test.Simulate$MemoryLogger run -- Using 63 MB out of 380 MB
2018-04-17 21:30:33 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 378 MB
2018-04-17 21:30:53 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 378 MB
2018-04-17 21:31:13 FINER test.Simulate$MemoryLogger run -- Using 50 MB out of 378 MB
2018-04-17 21:31:33 FINER test.Simulate$MemoryLogger run -- Using 29 MB out of 378 MB
2018-04-17 21:31:53 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 378 MB
2018-04-17 21:32:13 FINER test.Simulate$MemoryLogger run -- Using 47 MB out of 378 MB
2018-04-17 21:32:33 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 378 MB
2018-04-17 21:32:53 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 378 MB
2018-04-17 21:33:13 FINER test.Simulate$MemoryLogger run -- Using 50 MB out of 378 MB
2018-04-17 21:33:33 FINER test.Simulate$MemoryLogger run -- Using 30 MB out of 378 MB
2018-04-17 21:33:53 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 378 MB
2018-04-17 21:34:13 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 378 MB
2018-04-17 21:34:33 FINER test.Simulate$MemoryLogger run -- Using 38 MB out of 378 MB
2018-04-17 21:34:53 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 378 MB
2018-04-17 21:35:13 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 378 MB
2018-04-17 21:35:33 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 378 MB
