2018-04-18 07:22:22 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 07:22:42 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 07:23:02 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 07:23:22 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 07:23:42 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 07:24:02 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 07:24:22 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 07:24:42 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 07:25:02 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 07:25:22 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 07:25:42 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 07:26:02 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 07:26:22 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 07:26:42 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 07:27:02 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 07:27:22 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 07:27:42 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 07:28:02 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 07:28:22 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 07:28:42 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 07:29:02 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 07:29:22 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 07:29:42 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 07:30:02 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 07:30:22 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 07:30:42 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 07:31:02 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 07:31:22 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 07:31:42 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 07:32:02 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 07:32:22 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 07:32:42 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 07:33:02 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 07:33:22 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-18 07:33:42 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-18 07:34:02 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 07:34:22 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-18 07:34:42 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-18 07:35:02 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-18 07:35:22 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-18 07:35:42 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-18 07:36:02 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-18 07:36:22 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-18 07:36:42 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-18 07:37:02 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 723 MB
2018-04-18 07:37:22 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 723 MB
2018-04-18 07:37:42 FINER test.Simulate$MemoryLogger run -- Using 140 MB out of 723 MB
2018-04-18 07:38:02 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 723 MB
2018-04-18 07:38:22 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 723 MB
2018-04-18 07:38:42 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-18 07:39:02 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-18 07:39:22 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 723 MB
2018-04-18 07:39:42 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 723 MB
2018-04-18 07:40:02 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-18 07:40:22 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-18 07:40:42 FINER test.Simulate$MemoryLogger run -- Using 158 MB out of 723 MB
2018-04-18 07:41:02 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-18 07:41:22 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-18 07:41:42 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
