2018-04-17 18:32:22 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 18:32:42 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 209 on Area1
2018-04-17 18:33:02 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 438 on Area1
2018-04-17 18:33:22 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 685 on Area1
2018-04-17 18:33:42 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 955 on Area1
2018-04-17 18:34:02 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1237 on Area1
2018-04-17 18:34:22 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1521 on Area1
2018-04-17 18:34:42 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1803 on Area1
2018-04-17 18:35:02 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2087 on Area1
2018-04-17 18:35:22 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2368 on Area1
2018-04-17 18:35:42 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2651 on Area1
2018-04-17 18:36:02 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2938 on Area1
2018-04-17 18:36:22 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3226 on Area1
2018-04-17 18:36:42 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3505 on Area1
2018-04-17 18:37:02 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3788 on Area1
2018-04-17 18:37:22 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4073 on Area1
2018-04-17 18:37:42 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4357 on Area1
2018-04-17 18:38:02 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4643 on Area1
2018-04-17 18:38:22 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4929 on Area1
