XMI
1524251710 1524251710 9621 76
1524251730 1524251730 13939 142
1524251750 1524251750 16542 67
1524251770 1524251770 19303 110


TEMF
1524257972 1524257976 307 34
1524257992 1524257996 676 81
1524258012 1524258016 1056 105
1524258032 1524258036 1434 41
1524258052 1524258056 1815 88
1524258072 1524258076 2193 77
1524258092 1524258096 2574 73
1524258112 1524258116 2949 56
1524258132 1524258136 3318 54
1524258152 1524258156 3696 65
1524258172 1524258176 4071 59
1524258192 1524258196 4450 20
1524258212 1524258216 4820 52
1524258232 1524258236 5196 51
1524258252 1524258256 5570 47
1524258272 1524258276 5941 25
1524258292 1524258296 6310 52
1524258312 1524258316 6681 35
1524258332 1524258336 7051 23
1524258352 1524258356 7425 50
1524258372 1524258376 7779 64
1524258392 1524258396 8148 37
1524258412 1524258416 8515 50
1524258432 1524258436 8880 54
1524258452 1524258456 9248 71
1524258472 1524258476 9617 39
1524258492 1524258496 9984 63
1524258512 1524258516 10354 32
1524258532 1524258536 10725 65
1524258552 1524258556 11095 47
1524258572 1524258576 11465 66
1524258592 1524258596 11831 33
1524258612 1524258616 12198 34
1524258632 1524258636 12560 55
1524258652 1524258656 12916 67
1524258672 1524258676 13264 59
1524258692 1524258696 13613 46
1524258712 1524258716 13963 77
1524258732 1524258736 14313 85
1524258752 1524258756 14665 46
1524258772 1524258776 15020 57
1524258792 1524258796 15366 46
1524258812 1524258816 15716 32
1524258832 1524258836 16065 34
1524258852 1524258856 16411 77
1524258872 1524258876 16732 80
1524258892 1524258896 17066 64
1524258912 1524258916 17423 78
1524258932 1524258936 17783 73
1524258952 1524258956 18127 63
1524258972 1524258976 18465 62
1524258992 1524258996 18790 60
1524259012 1524259016 19134 48
1524259032 1524259036 19448 77
1524259052 1524259056 19805 60
1524259072 1524259076 20125 75
1524259092 1524259096 20446 55
