2018-04-18 00:27:53 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 00:28:13 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 00:28:33 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 00:28:53 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 00:29:13 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 00:29:33 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 00:29:53 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 00:30:13 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 00:30:33 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 00:30:53 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 00:31:13 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 00:31:33 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 00:31:53 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 00:32:13 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 00:32:33 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 00:32:53 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 00:33:13 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 00:33:33 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 00:33:53 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 00:34:13 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 00:34:33 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 00:34:53 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 00:35:13 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 00:35:33 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 00:35:53 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 00:36:13 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-18 00:36:33 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 00:36:53 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 00:37:13 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-18 00:37:33 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-18 00:37:53 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-18 00:38:13 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-18 00:38:33 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-18 00:38:53 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 723 MB
2018-04-18 00:39:13 FINER test.Simulate$MemoryLogger run -- Using 140 MB out of 723 MB
2018-04-18 00:39:33 FINER test.Simulate$MemoryLogger run -- Using 140 MB out of 723 MB
2018-04-18 00:39:53 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 723 MB
2018-04-18 00:40:13 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-18 00:40:33 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-18 00:40:53 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 723 MB
2018-04-18 00:41:13 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-18 00:41:33 FINER test.Simulate$MemoryLogger run -- Using 158 MB out of 723 MB
2018-04-18 00:41:53 FINER test.Simulate$MemoryLogger run -- Using 158 MB out of 723 MB
2018-04-18 00:42:13 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-18 00:42:33 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
2018-04-18 00:42:53 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
2018-04-18 00:43:13 FINER test.Simulate$MemoryLogger run -- Using 170 MB out of 723 MB
2018-04-18 00:43:33 FINER test.Simulate$MemoryLogger run -- Using 174 MB out of 723 MB
2018-04-18 00:43:53 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 723 MB
2018-04-18 00:44:13 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 723 MB
2018-04-18 00:44:33 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 723 MB
2018-04-18 00:44:53 FINER test.Simulate$MemoryLogger run -- Using 185 MB out of 723 MB
2018-04-18 00:45:13 FINER test.Simulate$MemoryLogger run -- Using 185 MB out of 723 MB
2018-04-18 00:45:33 FINER test.Simulate$MemoryLogger run -- Using 189 MB out of 723 MB
2018-04-18 00:45:53 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 723 MB
2018-04-18 00:46:13 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 723 MB
