2018-04-21 00:09:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17059 on Area1
2018-04-21 00:10:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17391 on Area1
2018-04-21 00:10:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17721 on Area1
2018-04-21 00:10:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18053 on Area1
2018-04-21 00:11:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18385 on Area1
2018-04-21 00:11:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18719 on Area1
2018-04-21 00:11:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19049 on Area1
2018-04-21 00:12:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19383 on Area1
2018-04-21 00:12:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19710 on Area1
2018-04-21 00:12:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20041 on Area1
2018-04-21 00:13:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20368 on Area1
2018-04-21 00:13:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20700 on Area1
2018-04-21 00:13:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21028 on Area1
2018-04-21 00:14:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21356 on Area1
2018-04-21 00:14:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21684 on Area1
2018-04-21 00:14:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22014 on Area1
2018-04-21 00:15:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22342 on Area1
2018-04-21 00:15:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22671 on Area1
2018-04-21 00:15:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23005 on Area1
