2018-04-18 20:03:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 20:03:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 92 on Area1
2018-04-18 20:04:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 189 on Area1
2018-04-18 20:04:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 286 on Area1
2018-04-18 20:04:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 386 on Area1
2018-04-18 20:05:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 486 on Area1
2018-04-18 20:05:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 586 on Area1
2018-04-18 20:05:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 686 on Area1
2018-04-18 20:06:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 787 on Area1
2018-04-18 20:06:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 888 on Area1
2018-04-18 20:06:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 988 on Area1
2018-04-18 20:07:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1088 on Area1
2018-04-18 20:07:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1188 on Area1
2018-04-18 20:07:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1288 on Area1
2018-04-18 20:08:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1388 on Area1
2018-04-18 20:08:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1488 on Area1
2018-04-18 20:08:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1589 on Area1
2018-04-18 20:09:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1689 on Area1
2018-04-18 20:09:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1790 on Area1
2018-04-18 20:09:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1891 on Area1
2018-04-18 20:10:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1991 on Area1
2018-04-18 20:10:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2090 on Area1
2018-04-18 20:10:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2191 on Area1
2018-04-18 20:11:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2290 on Area1
2018-04-18 20:11:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2389 on Area1
2018-04-18 20:11:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2489 on Area1
