2018-04-18 16:01:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 16:01:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 99 on Area1
2018-04-18 16:01:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 204 on Area1
2018-04-18 16:02:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 310 on Area1
2018-04-18 16:02:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 418 on Area1
2018-04-18 16:02:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 527 on Area1
2018-04-18 16:03:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 636 on Area1
2018-04-18 16:03:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 746 on Area1
2018-04-18 16:03:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 855 on Area1
2018-04-18 16:04:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 965 on Area1
2018-04-18 16:04:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1075 on Area1
2018-04-18 16:04:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1184 on Area1
2018-04-18 16:05:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1294 on Area1
2018-04-18 16:05:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1402 on Area1
2018-04-18 16:05:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1512 on Area1
2018-04-18 16:06:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1622 on Area1
2018-04-18 16:06:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1731 on Area1
2018-04-18 16:06:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1840 on Area1
2018-04-18 16:07:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1950 on Area1
2018-04-18 16:07:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2060 on Area1
2018-04-18 16:07:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2168 on Area1
2018-04-18 16:08:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2278 on Area1
2018-04-18 16:08:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2388 on Area1
2018-04-18 16:08:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2497 on Area1
2018-04-18 16:09:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2607 on Area1
2018-04-18 16:09:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2716 on Area1
2018-04-18 16:09:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2826 on Area1
2018-04-18 16:10:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2936 on Area1
2018-04-18 16:10:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3047 on Area1
2018-04-18 16:10:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3156 on Area1
2018-04-18 16:11:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3266 on Area1
2018-04-18 16:11:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3376 on Area1
2018-04-18 16:11:59 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3486 on Area1
2018-04-18 16:12:19 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3596 on Area1
2018-04-18 16:12:39 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3705 on Area1
