2018-04-17 17:06:39 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-17 17:06:59 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-17 17:07:19 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 723 MB
2018-04-17 17:07:39 FINER test.Simulate$MemoryLogger run -- Using 116 MB out of 723 MB
2018-04-17 17:07:59 FINER test.Simulate$MemoryLogger run -- Using 149 MB out of 723 MB
2018-04-17 17:08:19 FINER test.Simulate$MemoryLogger run -- Using 182 MB out of 723 MB
2018-04-17 17:08:39 FINER test.Simulate$MemoryLogger run -- Using 204 MB out of 723 MB
2018-04-17 17:08:59 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 723 MB
2018-04-17 17:09:19 FINER test.Simulate$MemoryLogger run -- Using 88 MB out of 723 MB
2018-04-17 17:09:39 FINER test.Simulate$MemoryLogger run -- Using 110 MB out of 723 MB
2018-04-17 17:09:59 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-17 17:10:19 FINER test.Simulate$MemoryLogger run -- Using 161 MB out of 723 MB
2018-04-17 17:10:39 FINER test.Simulate$MemoryLogger run -- Using 190 MB out of 723 MB
2018-04-17 17:10:59 FINER test.Simulate$MemoryLogger run -- Using 215 MB out of 723 MB
2018-04-17 17:11:19 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 723 MB
2018-04-17 17:11:39 FINER test.Simulate$MemoryLogger run -- Using 100 MB out of 723 MB
2018-04-17 17:11:59 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-17 17:12:19 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 723 MB
2018-04-17 17:12:39 FINER test.Simulate$MemoryLogger run -- Using 165 MB out of 723 MB
