2018-04-17 18:29:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 18:29:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 236 on Area1
2018-04-17 18:29:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 502 on Area1
2018-04-17 18:30:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 773 on Area1
2018-04-17 18:30:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1052 on Area1
2018-04-17 18:30:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1335 on Area1
2018-04-17 18:31:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1611 on Area1
2018-04-17 18:31:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1899 on Area1
2018-04-17 18:31:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2176 on Area1
2018-04-17 18:32:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2462 on Area1
