2018-04-20 22:59:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-20 22:59:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 307 on Area1
2018-04-20 22:59:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 676 on Area1
2018-04-20 23:00:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1056 on Area1
2018-04-20 23:00:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1434 on Area1
2018-04-20 23:00:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1815 on Area1
2018-04-20 23:01:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2193 on Area1
2018-04-20 23:01:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2574 on Area1
2018-04-20 23:01:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2949 on Area1
2018-04-20 23:02:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3318 on Area1
2018-04-20 23:02:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3696 on Area1
2018-04-20 23:02:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4071 on Area1
2018-04-20 23:03:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4450 on Area1
2018-04-20 23:03:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4820 on Area1
2018-04-20 23:03:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5196 on Area1
2018-04-20 23:04:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5570 on Area1
2018-04-20 23:04:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5941 on Area1
2018-04-20 23:04:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6310 on Area1
2018-04-20 23:05:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6681 on Area1
2018-04-20 23:05:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7051 on Area1
2018-04-20 23:05:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7425 on Area1
2018-04-20 23:06:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7779 on Area1
2018-04-20 23:06:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8148 on Area1
2018-04-20 23:06:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8515 on Area1
2018-04-20 23:07:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8880 on Area1
2018-04-20 23:07:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9248 on Area1
2018-04-20 23:07:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9617 on Area1
2018-04-20 23:08:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9984 on Area1
