2018-04-17 20:49:31 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-17 20:49:51 FINER test.Simulate$MemoryLogger run -- Using 328 MB out of 697 MB
2018-04-17 20:50:11 FINER test.Simulate$MemoryLogger run -- Using 163 MB out of 725 MB
2018-04-17 20:50:31 FINER test.Simulate$MemoryLogger run -- Using 259 MB out of 691 MB
2018-04-17 20:50:51 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 662 MB
2018-04-17 20:51:11 FINER test.Simulate$MemoryLogger run -- Using 29 MB out of 637 MB
2018-04-17 20:51:31 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 613 MB
2018-04-17 20:51:51 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 592 MB
2018-04-17 20:52:11 FINER test.Simulate$MemoryLogger run -- Using 204 MB out of 574 MB
2018-04-17 20:52:31 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 553 MB
2018-04-17 20:52:51 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 535 MB
2018-04-17 20:53:11 FINER test.Simulate$MemoryLogger run -- Using 88 MB out of 518 MB
2018-04-17 20:53:31 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 498 MB
2018-04-17 20:53:51 FINER test.Simulate$MemoryLogger run -- Using 156 MB out of 485 MB
2018-04-17 20:54:11 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 470 MB
2018-04-17 20:54:31 FINER test.Simulate$MemoryLogger run -- Using 101 MB out of 455 MB
2018-04-17 20:54:51 FINER test.Simulate$MemoryLogger run -- Using 20 MB out of 441 MB
2018-04-17 20:55:11 FINER test.Simulate$MemoryLogger run -- Using 25 MB out of 429 MB
2018-04-17 20:55:31 FINER test.Simulate$MemoryLogger run -- Using 104 MB out of 421 MB
2018-04-17 20:55:51 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 412 MB
2018-04-17 20:56:11 FINER test.Simulate$MemoryLogger run -- Using 34 MB out of 404 MB
2018-04-17 20:56:31 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 399 MB
2018-04-17 20:56:51 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 393 MB
2018-04-17 20:57:11 FINER test.Simulate$MemoryLogger run -- Using 65 MB out of 386 MB
2018-04-17 20:57:31 FINER test.Simulate$MemoryLogger run -- Using 35 MB out of 379 MB
2018-04-17 20:57:51 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 379 MB
2018-04-17 20:58:11 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 379 MB
2018-04-17 20:58:31 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 379 MB
2018-04-17 20:58:51 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 379 MB
2018-04-17 20:59:11 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 379 MB
2018-04-17 20:59:31 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 379 MB
2018-04-17 20:59:51 FINER test.Simulate$MemoryLogger run -- Using 62 MB out of 379 MB
2018-04-17 21:00:11 FINER test.Simulate$MemoryLogger run -- Using 42 MB out of 379 MB
2018-04-17 21:00:31 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 379 MB
2018-04-17 21:00:51 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 379 MB
2018-04-17 21:01:11 FINER test.Simulate$MemoryLogger run -- Using 25 MB out of 379 MB
2018-04-17 21:01:31 FINER test.Simulate$MemoryLogger run -- Using 63 MB out of 379 MB
2018-04-17 21:01:51 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 379 MB
2018-04-17 21:02:11 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 379 MB
