2018-04-17 21:02:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 21:03:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 279 on Area1
2018-04-17 21:03:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 556 on Area1
2018-04-17 21:03:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 834 on Area1
2018-04-17 21:04:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1112 on Area1
2018-04-17 21:04:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1389 on Area1
2018-04-17 21:04:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1666 on Area1
2018-04-17 21:05:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1943 on Area1
2018-04-17 21:05:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2220 on Area1
2018-04-17 21:05:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2496 on Area1
2018-04-17 21:06:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2771 on Area1
2018-04-17 21:06:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3047 on Area1
2018-04-17 21:06:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3322 on Area1
2018-04-17 21:07:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3595 on Area1
2018-04-17 21:07:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3870 on Area1
2018-04-17 21:07:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4143 on Area1
2018-04-17 21:08:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4417 on Area1
2018-04-17 21:08:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4691 on Area1
2018-04-17 21:08:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4962 on Area1
2018-04-17 21:09:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5232 on Area1
2018-04-17 21:09:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5504 on Area1
2018-04-17 21:09:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5770 on Area1
2018-04-17 21:10:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6037 on Area1
2018-04-17 21:10:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6310 on Area1
2018-04-17 21:10:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6584 on Area1
2018-04-17 21:11:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6856 on Area1
2018-04-17 21:11:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7125 on Area1
2018-04-17 21:11:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7399 on Area1
2018-04-17 21:12:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7670 on Area1
2018-04-17 21:12:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7938 on Area1
2018-04-17 21:12:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8209 on Area1
2018-04-17 21:13:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8479 on Area1
2018-04-17 21:13:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8743 on Area1
2018-04-17 21:13:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9013 on Area1
2018-04-17 21:14:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9279 on Area1
2018-04-17 21:14:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9543 on Area1
2018-04-17 21:14:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9809 on Area1
2018-04-17 21:15:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10075 on Area1
2018-04-17 21:15:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10341 on Area1
2018-04-17 21:15:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10609 on Area1
2018-04-17 21:16:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10875 on Area1
2018-04-17 21:16:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11140 on Area1
2018-04-17 21:16:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11404 on Area1
2018-04-17 21:17:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11668 on Area1
2018-04-17 21:17:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11931 on Area1
2018-04-17 21:17:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12192 on Area1
2018-04-17 21:18:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12453 on Area1
2018-04-17 21:18:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12714 on Area1
2018-04-17 21:18:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12973 on Area1
2018-04-17 21:19:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13232 on Area1
2018-04-17 21:19:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13491 on Area1
2018-04-17 21:19:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13748 on Area1
2018-04-17 21:20:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14003 on Area1
2018-04-17 21:20:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14261 on Area1
2018-04-17 21:20:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14515 on Area1
2018-04-17 21:21:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14768 on Area1
