2018-04-17 21:02:40 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-17 21:03:00 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-17 21:03:20 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-17 21:03:40 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-17 21:04:00 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-17 21:04:20 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-17 21:04:40 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-17 21:05:00 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-17 21:05:20 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-17 21:05:40 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-17 21:06:00 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-17 21:06:20 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-17 21:06:40 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-17 21:07:00 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-17 21:07:20 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-17 21:07:40 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-17 21:08:00 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-17 21:08:20 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-17 21:08:40 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-17 21:09:00 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-17 21:09:20 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-17 21:09:40 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-17 21:10:00 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-17 21:10:20 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 723 MB
