2018-04-17 17:20:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 17:20:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1028 on Area1
2018-04-17 17:21:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2054 on Area1
2018-04-17 17:21:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3066 on Area1
2018-04-17 17:21:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4062 on Area1
2018-04-17 17:22:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5054 on Area1
2018-04-17 17:22:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6010 on Area1
2018-04-17 17:22:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6938 on Area1
2018-04-17 17:23:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7873 on Area1
2018-04-17 17:23:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8695 on Area1
2018-04-17 17:23:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9464 on Area1
2018-04-17 17:24:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10354 on Area1
2018-04-17 17:24:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11216 on Area1
2018-04-17 17:24:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12064 on Area1
2018-04-17 17:25:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12936 on Area1
2018-04-17 17:25:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13724 on Area1
2018-04-17 17:25:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14484 on Area1
2018-04-17 17:26:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15291 on Area1
2018-04-17 17:26:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16014 on Area1
2018-04-17 17:26:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16715 on Area1
2018-04-17 17:27:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17470 on Area1
2018-04-17 17:27:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18145 on Area1
2018-04-17 17:27:56 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18804 on Area1
2018-04-17 17:28:16 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19523 on Area1
2018-04-17 17:28:36 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20158 on Area1
