2018-04-17 19:27:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 19:28:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 368 on Area1
2018-04-17 19:28:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 735 on Area1
2018-04-17 19:28:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1102 on Area1
2018-04-17 19:29:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1469 on Area1
2018-04-17 19:29:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1835 on Area1
2018-04-17 19:29:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2201 on Area1
2018-04-17 19:30:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2565 on Area1
2018-04-17 19:30:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2930 on Area1
2018-04-17 19:30:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3294 on Area1
2018-04-17 19:31:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3656 on Area1
2018-04-17 19:31:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4018 on Area1
2018-04-17 19:31:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4378 on Area1
2018-04-17 19:32:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4736 on Area1
2018-04-17 19:32:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5096 on Area1
2018-04-17 19:32:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5451 on Area1
2018-04-17 19:33:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5805 on Area1
2018-04-17 19:33:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6160 on Area1
2018-04-17 19:33:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6509 on Area1
2018-04-17 19:34:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6854 on Area1
2018-04-17 19:34:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7205 on Area1
2018-04-17 19:34:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7545 on Area1
2018-04-17 19:35:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7876 on Area1
2018-04-17 19:35:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8220 on Area1
2018-04-17 19:35:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8546 on Area1
2018-04-17 19:36:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8877 on Area1
2018-04-17 19:36:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9211 on Area1
2018-04-17 19:36:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9526 on Area1
2018-04-17 19:37:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9843 on Area1
2018-04-17 19:37:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10194 on Area1
2018-04-17 19:37:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10540 on Area1
2018-04-17 19:38:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10884 on Area1
2018-04-17 19:38:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11231 on Area1
2018-04-17 19:38:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11572 on Area1
2018-04-17 19:39:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11910 on Area1
2018-04-17 19:39:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12252 on Area1
2018-04-17 19:39:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12586 on Area1
2018-04-17 19:40:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12918 on Area1
2018-04-17 19:40:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13255 on Area1
2018-04-17 19:40:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13582 on Area1
2018-04-17 19:41:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13908 on Area1
2018-04-17 19:41:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14239 on Area1
2018-04-17 19:41:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14561 on Area1
2018-04-17 19:42:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14882 on Area1
2018-04-17 19:42:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15210 on Area1
2018-04-17 19:42:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15526 on Area1
2018-04-17 19:43:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15842 on Area1
2018-04-17 19:43:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16166 on Area1
2018-04-17 19:43:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16476 on Area1
2018-04-17 19:44:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16787 on Area1
2018-04-17 19:44:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17106 on Area1
2018-04-17 19:44:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17413 on Area1
2018-04-17 19:45:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17720 on Area1
2018-04-17 19:45:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18035 on Area1
2018-04-17 19:45:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18337 on Area1
2018-04-17 19:46:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18641 on Area1
2018-04-17 19:46:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18952 on Area1
2018-04-17 19:46:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19250 on Area1
2018-04-17 19:47:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19549 on Area1
2018-04-17 19:47:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19858 on Area1
2018-04-17 19:47:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20152 on Area1
2018-04-17 19:48:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20448 on Area1
2018-04-17 19:48:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20753 on Area1
2018-04-17 19:48:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21043 on Area1
2018-04-17 19:49:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21335 on Area1
2018-04-17 19:49:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21636 on Area1
2018-04-17 19:49:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21924 on Area1
2018-04-17 19:50:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22241 on Area1
2018-04-17 19:50:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22562 on Area1
2018-04-17 19:50:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22875 on Area1
2018-04-17 19:51:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23188 on Area1
2018-04-17 19:51:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23505 on Area1
2018-04-17 19:51:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23815 on Area1
2018-04-17 19:52:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24123 on Area1
2018-04-17 19:52:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24437 on Area1
2018-04-17 19:52:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24742 on Area1
2018-04-17 19:53:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25046 on Area1
2018-04-17 19:53:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25356 on Area1
2018-04-17 19:53:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25657 on Area1
2018-04-17 19:54:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25958 on Area1
2018-04-17 19:54:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26265 on Area1
2018-04-17 19:54:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26561 on Area1
2018-04-17 19:55:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26858 on Area1
2018-04-17 19:55:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 27163 on Area1
2018-04-17 19:55:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 27456 on Area1
2018-04-17 19:56:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 27749 on Area1
2018-04-17 19:56:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28051 on Area1
2018-04-17 19:56:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28340 on Area1
2018-04-17 19:57:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28630 on Area1
2018-04-17 19:57:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28928 on Area1
2018-04-17 19:57:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 29215 on Area1
2018-04-17 19:58:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 29501 on Area1
2018-04-17 19:58:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 29797 on Area1
2018-04-17 19:58:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 30080 on Area1
2018-04-17 19:59:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 30364 on Area1
2018-04-17 19:59:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 30657 on Area1
2018-04-17 19:59:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 30937 on Area1
2018-04-17 20:00:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 31218 on Area1
2018-04-17 20:00:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 31530 on Area1
