2018-04-18 12:26:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 12:26:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 110 on Area1
2018-04-18 12:26:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 226 on Area1
2018-04-18 12:27:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 343 on Area1
2018-04-18 12:27:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 460 on Area1
2018-04-18 12:27:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 580 on Area1
2018-04-18 12:28:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 700 on Area1
2018-04-18 12:28:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 820 on Area1
2018-04-18 12:28:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 939 on Area1
2018-04-18 12:29:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1059 on Area1
2018-04-18 12:29:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1175 on Area1
2018-04-18 12:29:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1295 on Area1
2018-04-18 12:30:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1414 on Area1
2018-04-18 12:30:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1536 on Area1
2018-04-18 12:30:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1656 on Area1
2018-04-18 12:31:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1777 on Area1
2018-04-18 12:31:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1898 on Area1
2018-04-18 12:31:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2017 on Area1
2018-04-18 12:32:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2137 on Area1
2018-04-18 12:32:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2256 on Area1
2018-04-18 12:32:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2376 on Area1
2018-04-18 12:33:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2496 on Area1
2018-04-18 12:33:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2615 on Area1
2018-04-18 12:33:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2734 on Area1
2018-04-18 12:34:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2855 on Area1
2018-04-18 12:34:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2975 on Area1
2018-04-18 12:34:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3095 on Area1
2018-04-18 12:35:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3215 on Area1
2018-04-18 12:35:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3334 on Area1
2018-04-18 12:35:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3454 on Area1
2018-04-18 12:36:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3572 on Area1
2018-04-18 12:36:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3693 on Area1
2018-04-18 12:36:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3813 on Area1
2018-04-18 12:37:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3934 on Area1
2018-04-18 12:37:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4056 on Area1
2018-04-18 12:37:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4176 on Area1
2018-04-18 12:38:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4295 on Area1
2018-04-18 12:38:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4416 on Area1
2018-04-18 12:38:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4535 on Area1
2018-04-18 12:39:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4654 on Area1
2018-04-18 12:39:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4772 on Area1
2018-04-18 12:39:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4892 on Area1
2018-04-18 12:40:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5011 on Area1
2018-04-18 12:40:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5132 on Area1
2018-04-18 12:40:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5250 on Area1
2018-04-18 12:41:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5370 on Area1
2018-04-18 12:41:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5489 on Area1
2018-04-18 12:41:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5609 on Area1
2018-04-18 12:42:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5728 on Area1
2018-04-18 12:42:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5845 on Area1
2018-04-18 12:42:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5965 on Area1
2018-04-18 12:43:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6084 on Area1
2018-04-18 12:43:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6202 on Area1
2018-04-18 12:43:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6321 on Area1
2018-04-18 12:44:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6440 on Area1
2018-04-18 12:44:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6559 on Area1
2018-04-18 12:44:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6678 on Area1
2018-04-18 12:45:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6799 on Area1
2018-04-18 12:45:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6921 on Area1
2018-04-18 12:45:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7040 on Area1
2018-04-18 12:46:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7160 on Area1
2018-04-18 12:46:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7280 on Area1
2018-04-18 12:46:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7399 on Area1
2018-04-18 12:47:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7519 on Area1
2018-04-18 12:47:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7639 on Area1
2018-04-18 12:47:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7756 on Area1
2018-04-18 12:48:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7875 on Area1
2018-04-18 12:48:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7992 on Area1
2018-04-18 12:48:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8112 on Area1
2018-04-18 12:49:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8230 on Area1
2018-04-18 12:49:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8350 on Area1
2018-04-18 12:49:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8469 on Area1
2018-04-18 12:50:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8588 on Area1
2018-04-18 12:50:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8706 on Area1
2018-04-18 12:50:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8823 on Area1
2018-04-18 12:51:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8942 on Area1
2018-04-18 12:51:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9060 on Area1
2018-04-18 12:51:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9180 on Area1
2018-04-18 12:52:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9299 on Area1
2018-04-18 12:52:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9416 on Area1
2018-04-18 12:52:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9535 on Area1
2018-04-18 12:53:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9655 on Area1
2018-04-18 12:53:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9776 on Area1
2018-04-18 12:53:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9895 on Area1
2018-04-18 12:54:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10011 on Area1
2018-04-18 12:54:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10131 on Area1
2018-04-18 12:54:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10250 on Area1
2018-04-18 12:55:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10368 on Area1
2018-04-18 12:55:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10487 on Area1
2018-04-18 12:55:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10605 on Area1
2018-04-18 12:56:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10724 on Area1
2018-04-18 12:56:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10843 on Area1
2018-04-18 12:56:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10961 on Area1
2018-04-18 12:57:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11082 on Area1
2018-04-18 12:57:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11203 on Area1
2018-04-18 12:57:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11323 on Area1
2018-04-18 12:58:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11442 on Area1
2018-04-18 12:58:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11561 on Area1
