2018-04-18 20:29:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 20:29:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 90 on Area1
2018-04-18 20:30:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 187 on Area1
2018-04-18 20:30:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 285 on Area1
2018-04-18 20:30:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 384 on Area1
2018-04-18 20:31:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 482 on Area1
2018-04-18 20:31:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 581 on Area1
2018-04-18 20:31:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 682 on Area1
2018-04-18 20:32:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 781 on Area1
2018-04-18 20:32:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 881 on Area1
2018-04-18 20:32:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 981 on Area1
2018-04-18 20:33:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1081 on Area1
2018-04-18 20:33:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1182 on Area1
2018-04-18 20:33:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1281 on Area1
2018-04-18 20:34:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1382 on Area1
2018-04-18 20:34:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1482 on Area1
2018-04-18 20:34:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1583 on Area1
2018-04-18 20:35:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1684 on Area1
2018-04-18 20:35:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1784 on Area1
2018-04-18 20:35:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1884 on Area1
2018-04-18 20:36:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1984 on Area1
2018-04-18 20:36:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2084 on Area1
2018-04-18 20:36:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2184 on Area1
2018-04-18 20:37:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2284 on Area1
2018-04-18 20:37:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2384 on Area1
2018-04-18 20:37:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2484 on Area1
2018-04-18 20:38:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2583 on Area1
2018-04-18 20:38:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2683 on Area1
2018-04-18 20:38:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2784 on Area1
2018-04-18 20:39:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2883 on Area1
2018-04-18 20:39:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2984 on Area1
2018-04-18 20:39:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3083 on Area1
2018-04-18 20:40:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3183 on Area1
2018-04-18 20:40:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3271 on Area1
2018-04-18 20:40:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3365 on Area1
2018-04-18 20:41:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3458 on Area1
2018-04-18 20:41:21 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3552 on Area1
2018-04-18 20:41:41 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3648 on Area1
2018-04-18 20:42:01 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3744 on Area1
