2018-04-18 17:35:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 17:35:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 98 on Area1
2018-04-18 17:36:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 205 on Area1
2018-04-18 17:36:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 312 on Area1
2018-04-18 17:36:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 420 on Area1
2018-04-18 17:37:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 528 on Area1
2018-04-18 17:37:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 634 on Area1
2018-04-18 17:37:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 744 on Area1
2018-04-18 17:38:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 854 on Area1
2018-04-18 17:38:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 965 on Area1
2018-04-18 17:38:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1075 on Area1
2018-04-18 17:39:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1184 on Area1
2018-04-18 17:39:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1295 on Area1
2018-04-18 17:39:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1405 on Area1
2018-04-18 17:40:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1514 on Area1
2018-04-18 17:40:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1625 on Area1
2018-04-18 17:40:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1735 on Area1
2018-04-18 17:41:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1844 on Area1
2018-04-18 17:41:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1952 on Area1
2018-04-18 17:41:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2063 on Area1
2018-04-18 17:42:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2172 on Area1
2018-04-18 17:42:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2282 on Area1
2018-04-18 17:42:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2392 on Area1
2018-04-18 17:43:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2501 on Area1
2018-04-18 17:43:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2611 on Area1
2018-04-18 17:43:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2722 on Area1
2018-04-18 17:44:10 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2831 on Area1
2018-04-18 17:44:30 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2940 on Area1
2018-04-18 17:44:50 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3050 on Area1
