Size "XMI Before" "XMI After" "TEMF Before" "TEMF After"
0000020 10 7 ! !
0000040 10 7 ! !
0000080 10 7 ! !
0000160 10 7 ! !
0000320 10 8 ! !
0000640 11 9 ! !
0001280 12 10 ! !
0002560 14 14 10 10
0005120 18 20 9 9
0010240 23 34 10 10
0020480 40 64 12 12
0040960 73 118 13 13
0081920 139 225 16 16
0163840 271 438 22 22
0327680 536 865 36 36
0655360 1068 ! 37 37
