2018-04-18 05:49:06 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 05:49:26 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 05:49:46 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 05:50:06 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 05:50:26 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 05:50:46 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 05:51:06 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 05:51:26 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 05:51:46 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 05:52:06 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 05:52:26 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 05:52:46 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 05:53:06 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 05:53:26 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 05:53:46 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 05:54:06 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 05:54:26 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 05:54:46 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 05:55:06 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
