2018-04-18 02:49:21 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 02:49:41 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 02:50:01 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 02:50:21 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 02:50:41 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 02:51:01 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 02:51:21 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 02:51:41 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 02:52:01 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 02:52:21 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 02:52:41 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 02:53:01 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 02:53:21 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 02:53:41 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 02:54:01 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 02:54:21 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 02:54:41 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
