2018-04-18 01:24:29 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 01:24:49 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 01:25:09 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 01:25:29 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 01:25:49 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 01:26:09 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 01:26:29 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 01:26:49 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 01:27:09 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 01:27:29 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 01:27:49 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 01:28:09 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 01:28:29 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 01:28:49 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 01:29:09 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 01:29:29 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 01:29:49 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 01:30:09 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 01:30:29 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 01:30:49 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 01:31:09 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 01:31:29 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 01:31:49 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 01:32:09 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 01:32:29 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 01:32:49 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-18 01:33:09 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 01:33:29 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 01:33:49 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 723 MB
2018-04-18 01:34:09 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-18 01:34:29 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-18 01:34:49 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-18 01:35:09 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 723 MB
2018-04-18 01:35:29 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 723 MB
2018-04-18 01:35:49 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 723 MB
2018-04-18 01:36:09 FINER test.Simulate$MemoryLogger run -- Using 140 MB out of 723 MB
2018-04-18 01:36:29 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 723 MB
2018-04-18 01:36:49 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-18 01:37:09 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 723 MB
2018-04-18 01:37:29 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 723 MB
2018-04-18 01:37:49 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-18 01:38:09 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 723 MB
2018-04-18 01:38:29 FINER test.Simulate$MemoryLogger run -- Using 159 MB out of 723 MB
2018-04-18 01:38:49 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-18 01:39:09 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
2018-04-18 01:39:29 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
2018-04-18 01:39:49 FINER test.Simulate$MemoryLogger run -- Using 170 MB out of 723 MB
2018-04-18 01:40:09 FINER test.Simulate$MemoryLogger run -- Using 174 MB out of 723 MB
2018-04-18 01:40:29 FINER test.Simulate$MemoryLogger run -- Using 174 MB out of 723 MB
2018-04-18 01:40:49 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 723 MB
2018-04-18 01:41:09 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 723 MB
2018-04-18 01:41:29 FINER test.Simulate$MemoryLogger run -- Using 185 MB out of 723 MB
2018-04-18 01:41:49 FINER test.Simulate$MemoryLogger run -- Using 185 MB out of 723 MB
2018-04-18 01:42:09 FINER test.Simulate$MemoryLogger run -- Using 189 MB out of 723 MB
2018-04-18 01:42:29 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 723 MB
2018-04-18 01:42:49 FINER test.Simulate$MemoryLogger run -- Using 35 MB out of 723 MB
2018-04-18 01:43:09 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 723 MB
2018-04-18 01:43:29 FINER test.Simulate$MemoryLogger run -- Using 43 MB out of 723 MB
2018-04-18 01:43:49 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 723 MB
2018-04-18 01:44:09 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 723 MB
2018-04-18 01:44:29 FINER test.Simulate$MemoryLogger run -- Using 50 MB out of 723 MB
2018-04-18 01:44:49 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 723 MB
2018-04-18 01:45:09 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 723 MB
2018-04-18 01:45:29 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 723 MB
2018-04-18 01:45:49 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 723 MB
2018-04-18 01:46:09 FINER test.Simulate$MemoryLogger run -- Using 65 MB out of 723 MB
2018-04-18 01:46:29 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 01:46:49 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 01:47:09 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 01:47:29 FINER test.Simulate$MemoryLogger run -- Using 76 MB out of 723 MB
2018-04-18 01:47:49 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 01:48:09 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 01:48:29 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 01:48:49 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 01:49:10 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 01:49:30 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 01:49:50 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 01:50:10 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 01:50:30 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 01:50:50 FINER test.Simulate$MemoryLogger run -- Using 101 MB out of 723 MB
2018-04-18 01:51:10 FINER test.Simulate$MemoryLogger run -- Using 105 MB out of 723 MB
2018-04-18 01:51:30 FINER test.Simulate$MemoryLogger run -- Using 105 MB out of 723 MB
2018-04-18 01:51:50 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 01:52:10 FINER test.Simulate$MemoryLogger run -- Using 112 MB out of 723 MB
2018-04-18 01:52:30 FINER test.Simulate$MemoryLogger run -- Using 116 MB out of 723 MB
2018-04-18 01:52:50 FINER test.Simulate$MemoryLogger run -- Using 116 MB out of 723 MB
2018-04-18 01:53:10 FINER test.Simulate$MemoryLogger run -- Using 120 MB out of 723 MB
2018-04-18 01:53:30 FINER test.Simulate$MemoryLogger run -- Using 123 MB out of 723 MB
2018-04-18 01:53:50 FINER test.Simulate$MemoryLogger run -- Using 123 MB out of 723 MB
2018-04-18 01:54:10 FINER test.Simulate$MemoryLogger run -- Using 127 MB out of 723 MB
2018-04-18 01:54:30 FINER test.Simulate$MemoryLogger run -- Using 131 MB out of 723 MB
2018-04-18 01:54:50 FINER test.Simulate$MemoryLogger run -- Using 131 MB out of 723 MB
2018-04-18 01:55:10 FINER test.Simulate$MemoryLogger run -- Using 134 MB out of 723 MB
2018-04-18 01:55:30 FINER test.Simulate$MemoryLogger run -- Using 138 MB out of 723 MB
2018-04-18 01:55:50 FINER test.Simulate$MemoryLogger run -- Using 142 MB out of 723 MB
