2018-04-17 17:23:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-17 17:23:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 271 on Area1
2018-04-17 17:24:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 592 on Area1
2018-04-17 17:24:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 934 on Area1
2018-04-17 17:24:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1284 on Area1
2018-04-17 17:25:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1632 on Area1
2018-04-17 17:25:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1985 on Area1
2018-04-17 17:25:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2341 on Area1
2018-04-17 17:26:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2699 on Area1
2018-04-17 17:26:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3061 on Area1
2018-04-17 17:26:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3418 on Area1
2018-04-17 17:27:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3770 on Area1
2018-04-17 17:27:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4131 on Area1
2018-04-17 17:27:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4484 on Area1
2018-04-17 17:28:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4840 on Area1
2018-04-17 17:28:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5196 on Area1
2018-04-17 17:28:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5546 on Area1
2018-04-17 17:29:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5902 on Area1
2018-04-17 17:29:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6261 on Area1
2018-04-17 17:29:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6620 on Area1
2018-04-17 17:30:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6976 on Area1
2018-04-17 17:30:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7342 on Area1
2018-04-17 17:30:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7705 on Area1
2018-04-17 17:31:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8063 on Area1
2018-04-17 17:31:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8417 on Area1
2018-04-17 17:31:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8772 on Area1
2018-04-17 17:32:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9130 on Area1
2018-04-17 17:32:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9484 on Area1
2018-04-17 17:32:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9835 on Area1
2018-04-17 17:33:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10191 on Area1
2018-04-17 17:33:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10543 on Area1
2018-04-17 17:33:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10899 on Area1
2018-04-17 17:34:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11260 on Area1
2018-04-17 17:34:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11616 on Area1
2018-04-17 17:34:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11974 on Area1
2018-04-17 17:35:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12336 on Area1
2018-04-17 17:35:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12691 on Area1
2018-04-17 17:35:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13042 on Area1
2018-04-17 17:36:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13392 on Area1
2018-04-17 17:36:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13743 on Area1
2018-04-17 17:36:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14102 on Area1
2018-04-17 17:37:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14456 on Area1
2018-04-17 17:37:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14812 on Area1
2018-04-17 17:37:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15167 on Area1
2018-04-17 17:38:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15518 on Area1
2018-04-17 17:38:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15866 on Area1
2018-04-17 17:38:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16215 on Area1
2018-04-17 17:39:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16566 on Area1
2018-04-17 17:39:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16912 on Area1
2018-04-17 17:39:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17263 on Area1
2018-04-17 17:40:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17610 on Area1
2018-04-17 17:40:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17959 on Area1
2018-04-17 17:40:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18311 on Area1
2018-04-17 17:41:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18658 on Area1
2018-04-17 17:41:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19011 on Area1
2018-04-17 17:41:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19367 on Area1
2018-04-17 17:42:11 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19716 on Area1
2018-04-17 17:42:31 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20070 on Area1
2018-04-17 17:42:51 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20420 on Area1
