2018-04-21 00:13:33 FINER test.Simulate$MemoryLogger run -- Using 189 MB out of 421 MB
2018-04-21 00:13:53 FINER test.Simulate$MemoryLogger run -- Using 199 MB out of 421 MB
2018-04-21 00:14:13 FINER test.Simulate$MemoryLogger run -- Using 209 MB out of 421 MB
2018-04-21 00:14:33 FINER test.Simulate$MemoryLogger run -- Using 160 MB out of 457 MB
2018-04-21 00:14:53 FINER test.Simulate$MemoryLogger run -- Using 170 MB out of 457 MB
2018-04-21 00:15:13 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 457 MB
2018-04-21 00:15:33 FINER test.Simulate$MemoryLogger run -- Using 192 MB out of 457 MB
2018-04-21 00:15:53 FINER test.Simulate$MemoryLogger run -- Using 202 MB out of 457 MB
2018-04-21 00:16:13 FINER test.Simulate$MemoryLogger run -- Using 212 MB out of 457 MB
2018-04-21 00:16:33 FINER test.Simulate$MemoryLogger run -- Using 159 MB out of 419 MB
2018-04-21 00:16:53 FINER test.Simulate$MemoryLogger run -- Using 169 MB out of 419 MB
2018-04-21 00:17:13 FINER test.Simulate$MemoryLogger run -- Using 180 MB out of 419 MB
2018-04-21 00:17:33 FINER test.Simulate$MemoryLogger run -- Using 190 MB out of 419 MB
2018-04-21 00:17:53 FINER test.Simulate$MemoryLogger run -- Using 199 MB out of 419 MB
2018-04-21 00:18:13 FINER test.Simulate$MemoryLogger run -- Using 209 MB out of 419 MB
2018-04-21 00:18:33 FINER test.Simulate$MemoryLogger run -- Using 219 MB out of 419 MB
2018-04-21 00:18:53 FINER test.Simulate$MemoryLogger run -- Using 167 MB out of 454 MB
2018-04-21 00:19:13 FINER test.Simulate$MemoryLogger run -- Using 176 MB out of 454 MB
2018-04-21 00:19:33 FINER test.Simulate$MemoryLogger run -- Using 186 MB out of 454 MB
2018-04-21 00:19:53 FINER test.Simulate$MemoryLogger run -- Using 195 MB out of 454 MB
2018-04-21 00:20:13 FINER test.Simulate$MemoryLogger run -- Using 205 MB out of 454 MB
2018-04-21 00:20:33 FINER test.Simulate$MemoryLogger run -- Using 215 MB out of 454 MB
2018-04-21 00:20:53 FINER test.Simulate$MemoryLogger run -- Using 224 MB out of 454 MB
2018-04-21 00:21:13 FINER test.Simulate$MemoryLogger run -- Using 232 MB out of 454 MB
2018-04-21 00:21:33 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 416 MB
2018-04-21 00:21:53 FINER test.Simulate$MemoryLogger run -- Using 190 MB out of 416 MB
2018-04-21 00:22:13 FINER test.Simulate$MemoryLogger run -- Using 200 MB out of 416 MB
