2018-04-18 06:15:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 06:15:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 122 on Area1
2018-04-18 06:15:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 250 on Area1
2018-04-18 06:16:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 380 on Area1
2018-04-18 06:16:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 512 on Area1
2018-04-18 06:16:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 646 on Area1
2018-04-18 06:17:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 784 on Area1
2018-04-18 06:17:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 922 on Area1
2018-04-18 06:17:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1061 on Area1
2018-04-18 06:18:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1202 on Area1
2018-04-18 06:18:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1339 on Area1
2018-04-18 06:18:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1480 on Area1
2018-04-18 06:19:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1618 on Area1
2018-04-18 06:19:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1753 on Area1
2018-04-18 06:19:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1893 on Area1
2018-04-18 06:20:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2030 on Area1
2018-04-18 06:20:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2169 on Area1
2018-04-18 06:20:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2307 on Area1
2018-04-18 06:21:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2446 on Area1
2018-04-18 06:21:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2584 on Area1
2018-04-18 06:21:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2718 on Area1
2018-04-18 06:22:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2857 on Area1
2018-04-18 06:22:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2995 on Area1
2018-04-18 06:22:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3132 on Area1
2018-04-18 06:23:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3269 on Area1
2018-04-18 06:23:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3408 on Area1
2018-04-18 06:23:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3549 on Area1
2018-04-18 06:24:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3686 on Area1
2018-04-18 06:24:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3823 on Area1
2018-04-18 06:24:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3963 on Area1
2018-04-18 06:25:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4101 on Area1
2018-04-18 06:25:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4232 on Area1
2018-04-18 06:25:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4372 on Area1
2018-04-18 06:26:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4511 on Area1
2018-04-18 06:26:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4652 on Area1
2018-04-18 06:26:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4788 on Area1
2018-04-18 06:27:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4923 on Area1
2018-04-18 06:27:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5062 on Area1
2018-04-18 06:27:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5200 on Area1
2018-04-18 06:28:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5338 on Area1
2018-04-18 06:28:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5474 on Area1
2018-04-18 06:28:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5614 on Area1
2018-04-18 06:29:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5750 on Area1
2018-04-18 06:29:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5884 on Area1
2018-04-18 06:29:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6022 on Area1
2018-04-18 06:30:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6160 on Area1
2018-04-18 06:30:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6298 on Area1
2018-04-18 06:30:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6436 on Area1
2018-04-18 06:31:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6576 on Area1
2018-04-18 06:31:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6713 on Area1
2018-04-18 06:31:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6853 on Area1
2018-04-18 06:32:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6990 on Area1
2018-04-18 06:32:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7124 on Area1
2018-04-18 06:32:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7260 on Area1
2018-04-18 06:33:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7398 on Area1
2018-04-18 06:33:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7535 on Area1
2018-04-18 06:33:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7673 on Area1
2018-04-18 06:34:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7811 on Area1
2018-04-18 06:34:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7949 on Area1
2018-04-18 06:34:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8085 on Area1
2018-04-18 06:35:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8222 on Area1
2018-04-18 06:35:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8360 on Area1
2018-04-18 06:35:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8497 on Area1
2018-04-18 06:36:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8636 on Area1
2018-04-18 06:36:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8768 on Area1
2018-04-18 06:36:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8902 on Area1
2018-04-18 06:37:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9037 on Area1
2018-04-18 06:37:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9175 on Area1
2018-04-18 06:37:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9312 on Area1
2018-04-18 06:38:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9450 on Area1
2018-04-18 06:38:32 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9583 on Area1
2018-04-18 06:38:52 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9720 on Area1
2018-04-18 06:39:12 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9850 on Area1
