2018-04-18 01:37:26 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 01:37:46 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 692 MB
2018-04-18 01:38:06 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 709 MB
2018-04-18 01:38:26 FINER test.Simulate$MemoryLogger run -- Using 313 MB out of 696 MB
2018-04-18 01:38:46 FINER test.Simulate$MemoryLogger run -- Using 222 MB out of 676 MB
2018-04-18 01:39:06 FINER test.Simulate$MemoryLogger run -- Using 188 MB out of 658 MB
2018-04-18 01:39:26 FINER test.Simulate$MemoryLogger run -- Using 199 MB out of 641 MB
2018-04-18 01:39:46 FINER test.Simulate$MemoryLogger run -- Using 226 MB out of 626 MB
2018-04-18 01:40:06 FINER test.Simulate$MemoryLogger run -- Using 289 MB out of 610 MB
2018-04-18 01:40:26 FINER test.Simulate$MemoryLogger run -- Using 107 MB out of 589 MB
2018-04-18 01:40:46 FINER test.Simulate$MemoryLogger run -- Using 231 MB out of 577 MB
2018-04-18 01:41:06 FINER test.Simulate$MemoryLogger run -- Using 146 MB out of 567 MB
2018-04-18 01:41:26 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 546 MB
2018-04-18 01:41:46 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 537 MB
2018-04-18 01:42:06 FINER test.Simulate$MemoryLogger run -- Using 133 MB out of 521 MB
2018-04-18 01:42:26 FINER test.Simulate$MemoryLogger run -- Using 21 MB out of 507 MB
2018-04-18 01:42:46 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 500 MB
2018-04-18 01:43:06 FINER test.Simulate$MemoryLogger run -- Using 31 MB out of 487 MB
2018-04-18 01:43:26 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 477 MB
2018-04-18 01:43:46 FINER test.Simulate$MemoryLogger run -- Using 99 MB out of 467 MB
2018-04-18 01:44:06 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 456 MB
2018-04-18 01:44:26 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 448 MB
2018-04-18 01:44:46 FINER test.Simulate$MemoryLogger run -- Using 89 MB out of 440 MB
2018-04-18 01:45:06 FINER test.Simulate$MemoryLogger run -- Using 47 MB out of 431 MB
2018-04-18 01:45:26 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 425 MB
2018-04-18 01:45:46 FINER test.Simulate$MemoryLogger run -- Using 115 MB out of 419 MB
2018-04-18 01:46:06 FINER test.Simulate$MemoryLogger run -- Using 99 MB out of 412 MB
2018-04-18 01:46:26 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 406 MB
2018-04-18 01:46:46 FINER test.Simulate$MemoryLogger run -- Using 42 MB out of 402 MB
2018-04-18 01:47:06 FINER test.Simulate$MemoryLogger run -- Using 62 MB out of 398 MB
2018-04-18 01:47:26 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 393 MB
2018-04-18 01:47:46 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 389 MB
2018-04-18 01:48:06 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 384 MB
2018-04-18 01:48:26 FINER test.Simulate$MemoryLogger run -- Using 50 MB out of 380 MB
2018-04-18 01:48:46 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 380 MB
2018-04-18 01:49:06 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 380 MB
2018-04-18 01:49:26 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 380 MB
2018-04-18 01:49:46 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 380 MB
2018-04-18 01:50:06 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 380 MB
2018-04-18 01:50:26 FINER test.Simulate$MemoryLogger run -- Using 26 MB out of 380 MB
2018-04-18 01:50:46 FINER test.Simulate$MemoryLogger run -- Using 25 MB out of 380 MB
2018-04-18 01:51:06 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 380 MB
2018-04-18 01:51:26 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 380 MB
2018-04-18 01:51:46 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 380 MB
2018-04-18 01:52:06 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 380 MB
2018-04-18 01:52:26 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 380 MB
2018-04-18 01:52:46 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 380 MB
2018-04-18 01:53:06 FINER test.Simulate$MemoryLogger run -- Using 78 MB out of 380 MB
2018-04-18 01:53:26 FINER test.Simulate$MemoryLogger run -- Using 27 MB out of 380 MB
2018-04-18 01:53:46 FINER test.Simulate$MemoryLogger run -- Using 31 MB out of 380 MB
2018-04-18 01:54:06 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 380 MB
2018-04-18 01:54:26 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 380 MB
2018-04-18 01:54:46 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 380 MB
2018-04-18 01:55:06 FINER test.Simulate$MemoryLogger run -- Using 34 MB out of 380 MB
2018-04-18 01:55:26 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 380 MB
2018-04-18 01:55:46 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 380 MB
2018-04-18 01:56:06 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 380 MB
2018-04-18 01:56:26 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 380 MB
